Scale,Accuracy,prob_pos,TPR,TNR,PPV,Renyi preds and s
0.04,0.6394,0.0869,0.5779735682819384,0.9759729272419628,0.7548906789413119,0.5395329912089832
0.05,0.818,0.0984,0.7859030837004405,0.9896221094190637,0.9065040650406504,0.32879911111593635
0.03,0.5243,0.0876,0.5136563876651983,0.9669486745628878,0.6655251141552512,0.7676030464157647
0.02,0.383,0.086,0.4193832599118943,0.9566835871404399,0.5534883720930233,0.8947393352977998
0.0,0.1084,0.102,0.0986784140969163,0.8975747320924986,0.10980392156862745,1.0
0.01,0.2407,0.1013,0.3303964757709251,0.9280315848843768,0.37018756169792694,0.9919205324581101
