Mix_fact,Accuracy,TPR,TNR,PPV,anti_spurious,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,PPV_sex_Male_1,PPV_sex_Male_0,PPV_sex_Male_0-sex_Male_1,PPV_sex_Male_0/sex_Male_1
0.0,0.7750870791175982,0.7905138339920948,0.7698958102416316,0.5361930294906166,0.7226061204343535,0.4424346125641652,0.22084623323013416,0.22158837933403105,0.49916129289750216,0.7937743190661478,0.7725321888412017,0.021242130224946143,0.9732390810401413,0.7184604419101924,0.8545454545454545,0.13608501263526207,0.8407515809587358,0.56353591160221,0.4205607476635514,0.14297516393865856,0.7462891698735569
0.1,0.8104163211146127,0.7299077733860343,0.8375083130126357,0.6018468223791418,0.7953274103323462,0.3659252016621853,0.17750257997936017,0.18842262168282511,0.48507886085207913,0.7299610894941634,0.7296137339055794,0.0003473555885840085,0.9995241450625475,0.800784034212402,0.8979472140762463,0.09716317986384437,0.8917941073364763,0.6265865063460254,0.4941860465116279,0.13240045983439752,0.7886956413943571
0.2,0.829656659479184,0.6554677206851119,0.8882731101751274,0.6637758505670447,0.8654162553471537,0.2862380835981423,0.1692466460268318,0.1169914375713105,0.5912792731816984,0.6357976653696498,0.7639484978540773,0.1281508324844275,0.8322520001748787,0.8738417676407698,0.9120234604105572,0.038181692769787334,0.9581351857411656,0.6976942783945346,0.5426829268292683,0.15501135156526624,0.7778233871690002
0.3,0.8374523138165533,0.6225296442687747,0.9097761028596764,0.6989644970414202,0.8759460348798948,0.2661940845758983,0.13570691434468524,0.1304871702312131,0.5098043953940379,0.6077821011673151,0.703862660944206,0.0960805597768909,0.8634953022681977,0.8902352102637205,0.9419354838709677,0.05170027360724716,0.9451127232251828,0.7171717171717171,0.623574144486692,0.09359757268502511,0.8694907085096129
0.4,0.8304859844086914,0.5625823451910409,0.9206384393704279,0.7046204620462047,0.9052319842053307,0.2221950623319482,0.1563467492260062,0.065848313105942,0.7036463708290334,0.5315175097276265,0.7339055793991416,0.20238806967151513,0.7242314606230232,0.9194583036350678,0.9225806451612903,0.003122341526222594,0.9966156438002483,0.7513751375137514,0.5643564356435643,0.1870187018701871,0.7510980966325036
0.5,0.836291258915243,0.5480895915678524,0.9332742185768123,0.7343336275375111,0.9029285949325436,0.21852847714495233,0.12332301341589268,0.09520546372905965,0.5643338343226141,0.5276264591439689,0.6609442060085837,0.13331774686461484,0.7982919803931476,0.9230220955096222,0.9501466275659824,0.02712453205636023,0.9714522671875961,0.7583892617449665,0.6443514644351465,0.11403779730982,0.849631576998556
0.6,0.8316470393100016,0.5046113306982872,0.9416980713810685,0.7444120505344995,0.9151036525172754,0.1933512588609142,0.12280701754385964,0.07054424131705456,0.6351498214562956,0.47704280155642026,0.6566523605150214,0.17960955895860115,0.7264769461610845,0.9365645046329294,0.9501466275659824,0.013582122933053054,0.9857052348142867,0.7749683944374209,0.6428571428571429,0.13211125158027803,0.8295269168026103
0.7,0.8236855199867308,0.43478260869565216,0.954555530924407,0.7630057803468208,0.9374794340243501,0.15081887069176242,0.12796697626418987,0.022851894427572544,0.848481199184442,0.39377431906614785,0.6609442060085837,0.2671698869424359,0.595775430794886,0.9604419101924447,0.9448680351906158,0.01557387500182894,0.9837846778274093,0.820097244732577,0.6209677419354839,0.19912950279709307,0.7571879382889201
0.8,0.8172167855365732,0.37417654808959155,0.966304588782975,0.7888888888888889,0.9562356038170451,0.11439745783427036,0.13003095975232198,0.01563350191805163,0.8797709257254601,0.31906614785992216,0.6781115879828327,0.3590454401229105,0.4705215977934295,0.9793300071275838,0.9448680351906158,0.03446197193696798,0.9648106647543188,0.8760683760683761,0.626984126984127,0.2490842490842491,0.7156794425087109
0.9,0.798308177143805,0.29117259552042163,0.9689647528264242,0.7594501718213058,0.9667653833497861,0.07577609386458078,0.14035087719298245,0.06457478332840166,0.5399046687851381,0.21867704280155642,0.6909871244635193,0.47231008166196287,0.316470502936414,0.9896650035637918,0.9348973607038124,0.05476764285997948,0.9446604228069491,0.9064516129032258,0.5919117647058824,0.3145398481973435,0.6529987439815784
1.0,0.7863658981588987,0.191699604743083,0.9864774994457992,0.8267045454545454,0.9615004935834156,0.04277682718161819,0.0913312693498452,0.04855444216822701,0.4683700060902602,0.12996108949416343,0.5321888412017167,0.4022277517075533,0.24420107945274258,0.9971489665003563,0.9689149560117302,0.02823401048862617,0.9716852632483614,0.9542857142857143,0.7005649717514124,0.2537207425343019,0.7341249703981867
