Mix_fact,Accuracy,TPR,TNR,PPV,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,PPV_sex_Male_1,PPV_sex_Male_0,PPV_sex_Male_0-sex_Male_1,PPV_sex_Male_0/sex_Male_1
0.0,0.7357363998230871,0.8305766651765758,0.704568826208315,0.4802274489532179,0.6047689041319615,0.05682985279014036,0.5479390513418211,0.09396953514286509,0.9272632129774987,0.26380368098159507,0.6634595319959036,0.28449708485091885,0.5415479582146249,0.9691714836223507,0.42762352540772586,0.5587741358119092,0.47853092087496624,0.5180722891566265,0.03954136828166027,0.9236759635493534
0.1,0.8022998673153472,0.767545820295038,0.8137211693844572,0.5752093802345059,0.4510860689204638,0.07634371790482711,0.3747423510156367,0.16924423777380754,0.8283621140763998,0.4110429447852761,0.4173191692911237,0.49621166613055123,0.7200854700854701,0.9657032755298651,0.24561780544439504,0.7456591360222645,0.5731354091238233,0.600896860986547,0.02776145186272372,0.9537999719000941
0.2,0.8250773993808049,0.7121144389807779,0.8622006757749375,0.6293954958514422,0.3718765311121999,0.08695652173913043,0.2849200093730695,0.2338317007504153,0.7472527472527473,0.5061349693251533,0.24111777792759392,0.6773276795380728,0.7984330484330484,0.9657032755298651,0.16727022709681671,0.8267892101690985,0.6271409749670619,0.6496062992125984,0.02246532424553649,0.9654170160099014
0.3,0.8350287483414418,0.6289673670093876,0.9027471720287938,0.680038666022233,0.30344602319124614,0.07223553577541937,0.23121048741582678,0.23805069190144929,0.6661433804290947,0.4110429447852761,0.2551004356438186,0.6170487568614789,0.8611111111111112,0.9703275529865125,0.10921644187540136,0.887443738416733,0.6851453175457481,0.6350710900473934,0.05007422749835477,0.9269144425043652
0.4,0.840999557717824,0.6057219490388914,0.9183193771117967,0.7090528519099948,0.27421198758778376,0.07942485450188291,0.19478713308590084,0.28964763794820075,0.6263736263736264,0.48466257668711654,0.14171104968650983,0.7737595522548703,0.8855650522317189,0.9714836223506744,0.08591857011895554,0.9115594250461366,0.7129243597379392,0.6810344827586207,0.031889876979318554,0.9552689194249993
0.5,0.8374613003095975,0.573088958426464,0.924342588511826,0.7134112409571508,0.24073166748325983,0.11057856898322492,0.13015309850003492,0.4593436756338441,0.5677655677655677,0.6042944785276073,0.03652891076203957,0.9395511425968279,0.907644824311491,0.9514450867052023,0.043800262393711376,0.9539644872775694,0.7360922659430122,0.6099071207430341,0.12618514519997814,0.8285742820048223
0.6,0.8411101282618311,0.5417970496200268,0.9394740708094609,0.7463054187192119,0.2206434754205455,0.09346114344402602,0.12718233197651946,0.4235844421227027,0.5379382522239665,0.5644171779141104,0.026478925690143873,0.9530862512228973,0.9233143399810066,0.9657032755298651,0.042388935548858475,0.956105631384961,0.7609178386380459,0.673992673992674,0.08692516464537181,0.8857627456849247
0.7,0.8379035824856258,0.5015645954403218,0.9484354341119436,0.7617107942973523,0.19369590070227014,0.09825402259500171,0.09544187810726842,0.5072591739875173,0.48874934589220304,0.5766871165644172,0.08793777067221414,0.8475121636215861,0.9401709401709402,0.9618497109826589,0.02167877081171876,0.9774613740959895,0.7875210792580101,0.6550522648083623,0.13246881444964775,0.8317901349707899
0.8,0.8276205218929678,0.4295932051855163,0.958425150580285,0.772508038585209,0.1466601339212804,0.11845258473125642,0.028207549190023995,0.8076672341976426,0.39508110936682367,0.6319018404907976,0.2368207311239739,0.6252254449203132,0.9660493827160493,0.9460500963391136,0.01999928637693571,0.9792978633031081,0.8407572383073497,0.5953757225433526,0.24538151576399714,0.7081422501244113
0.9,0.8034055727554179,0.3138131426016987,0.9643014543851918,0.7428571428571429,0.08574228319451249,0.1437863745292708,0.058044091334758297,0.5963171647885024,0.24960753532182103,0.6901840490797546,0.4405765137579336,0.3616535845107274,0.9886039886039886,0.9248554913294798,0.06374849727450882,0.9355166497309724,0.9085714285714286,0.5357142857142857,0.3728571428571429,0.5896226415094339
1.0,0.7734409553295002,0.21099687080911936,0.9582782429851623,0.6243386243386243,0.04278948227992814,0.1691201643272852,0.12633068204735703,0.25301230311674106,0.12401883830455258,0.7208588957055214,0.5968400574009688,0.17204315441397508,0.9940645773979108,0.9001926782273603,0.0938718991705505,0.9055676046557538,0.9045801526717557,0.4757085020242915,0.42887165064746424,0.5258887237568117
