Mix_fact,Accuracy,TPR,TNR,PPV,anti_spurious,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,PPV_sex_Male_1,PPV_sex_Male_0,PPV_sex_Male_0-sex_Male_1,PPV_sex_Male_0/sex_Male_1
0.0,0.7759164040471056,0.8115942028985508,0.7639104411438705,0.5363517631693513,0.70714050674564,0.46174529454901003,0.21052631578947367,0.25121897875953636,0.45593602853082943,0.8186770428015564,0.7725321888412017,0.046144853960354726,0.9436348504381599,0.7017106200997861,0.866275659824047,0.16456503972426084,0.8100315553623123,0.5569084171519323,0.4411764705882353,0.11573194656369701,0.7921885484231714
0.1,0.8155581356775584,0.741106719367589,0.8406118377299934,0.6100867678958786,0.8009213557091148,0.3659252016621853,0.17905056759545923,0.18687463406672605,0.48930919975485887,0.7377431906614786,0.759656652360515,0.021913461699036407,0.9711534656730199,0.8043478260869565,0.9002932551319648,0.09594542904500825,0.8934286928197139,0.6332665330661322,0.5100864553314121,0.12318007773472017,0.805484624083464
0.2,0.8273345496765633,0.6620553359683794,0.8829527820882288,0.6555772994129159,0.8548864758144127,0.2965045221217306,0.1651186790505676,0.13138584307116302,0.5568841846627139,0.6474708171206226,0.7424892703862661,0.09501845326564351,0.87202716987922,0.8642195295794726,0.9137829912023461,0.049563461622873506,0.9457601398799748,0.6859027205276175,0.540625,0.14527772052761745,0.7881948617788462
0.3,0.8331398241831149,0.6047430830039525,0.9099977831966305,0.6933534743202417,0.8914116485686081,0.24810559765338547,0.15944272445820434,0.08866287319518112,0.6426405771019842,0.5797665369649806,0.7424892703862661,0.16272273342128551,0.7808416364904074,0.9037776193870278,0.9202346041055719,0.016456984718544065,0.9821165334957823,0.7339901477832512,0.5598705501618123,0.17411959762143892,0.7627766555895832
0.4,0.8313153093381987,0.5691699604743083,0.9195300376856573,0.7041564792176039,0.9009542612701547,0.22781715961867513,0.152218782249742,0.07559837736893313,0.6681620581370113,0.5431906614785992,0.7124463519313304,0.16925569045273126,0.762430265810323,0.9166072701354241,0.9243401759530792,0.007732905817655067,0.9916341342518389,0.7489270386266095,0.5627118644067797,0.1862151742198298,0.7513573891505998
0.5,0.8298225244650854,0.5408432147562582,0.9270671691420971,0.7139130434782609,0.9032576505429417,0.21559520899535567,0.13828689370485037,0.0773083152905053,0.6414191407557175,0.5151750972762645,0.6824034334763949,0.16722833620013033,0.75494212368157,0.9215965787598004,0.9360703812316715,0.014473802471871133,0.9845376984871301,0.7505668934240363,0.5932835820895522,0.15728331133448403,0.7904473102764125
0.6,0.8308177143804942,0.5072463768115942,0.9397029483484814,0.7389635316698656,0.916419874958868,0.1933512588609142,0.12951496388028896,0.06383629498062524,0.6698428789307992,0.4762645914396887,0.6781115879828327,0.20184699654314397,0.7023395557306801,0.9362081254454739,0.9454545454545454,0.009246420009071499,0.9902201326827128,0.7737041719342604,0.6294820717131474,0.14422210022111304,0.8135952920344764
0.7,0.8228561950572234,0.44598155467720685,0.9496785635114166,0.7488938053097345,0.9338598223099703,0.1576631630408213,0.13364293085655315,0.02402023218426816,0.8476484188126495,0.4038910505836576,0.6781115879828327,0.27422053739917507,0.5956114859872925,0.955096222380613,0.9407624633431085,0.014333759037504445,0.9849923403510308,0.8046511627906977,0.61003861003861,0.19461255275208766,0.758140469123128
0.8,0.8158898656493614,0.3801054018445323,0.962536023054755,0.7734584450402144,0.9552484369858506,0.11733072598386703,0.13725490196078433,0.0199241759769173,0.8548381464538882,0.3237354085603113,0.6909871244635193,0.367251715903208,0.46851149189163066,0.977191732002851,0.9384164222873901,0.03877530971546095,0.9603196502328288,0.8666666666666667,0.6052631578947368,0.26140350877192986,0.6983805668016194
0.9,0.7963177973129872,0.28919631093544135,0.9669696297938373,0.7465986394557823,0.9677525501809806,0.07430945978978246,0.14654282765737875,0.0722333678675963,0.5070835671570366,0.21556420233463036,0.6952789699570815,0.47971476762245113,0.3100398712590671,0.9903777619387027,0.9284457478005865,0.06193201413811622,0.9374662714388075,0.9111842105263158,0.5704225352112676,0.3407616753150482,0.6260232877408858
1.0,0.7905125228064356,0.20948616600790515,0.986034138771891,0.8346456692913385,0.9615004935834156,0.04937668051821071,0.09236326109391124,0.04298658057570053,0.5345922170072199,0.14941634241245136,0.5407725321888412,0.39135618977638986,0.27630164906429494,0.9964362081254454,0.9689149560117302,0.027521252113715255,0.9723803170847335,0.9504950495049505,0.7039106145251397,0.24658443497981075,0.740572625698324
