Mix_fact,Accuracy,TPR,TNR,PPV,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,PPV_sex_Male_1,PPV_sex_Male_0,PPV_sex_Male_0-sex_Male_1,PPV_sex_Male_0/sex_Male_1
0.0,0.7697921273772667,0.7577112203844435,0.7737623035110915,0.5239567233384853,0.48440307039033154,0.0920917494008901,0.39231132098944144,0.19011388455214095,0.8199895342752486,0.39263803680981596,0.4273514974654326,0.47883298554151776,0.6678537511870846,0.945664739884393,0.27781098869730847,0.7062267662308412,0.5283209710047202,0.4758364312267658,0.05248453977795442,0.9006578525964182
0.1,0.7908005307386112,0.8010728654447922,0.7874247098574997,0.5532571781414016,0.5026947574718276,0.05511811023622047,0.4475766472356071,0.10964528556737424,0.8770277341705913,0.3558282208588957,0.5211995133116956,0.40572060266190313,0.6671415004748338,0.9826589595375722,0.3155174590627384,0.6789145857773309,0.5445094217024041,0.7204968944099379,0.1759874727075338,0.7557415249490264
0.2,0.8317116320212296,0.7206079570853822,0.8682238871749669,0.6424870466321243,0.3730197615547934,0.07702841492639508,0.2959913466283983,0.20649955542658366,0.7598116169544741,0.49079754601226994,0.26901407094220414,0.6459463570450743,0.8024691358024691,0.9749518304431599,0.17248269464069077,0.823085931781584,0.6357267950963222,0.7111111111111111,0.0753843160147889,0.8939908056042031
0.3,0.8442061034940291,0.6611533303531515,0.9043631555751432,0.6943661971830986,0.31830801894496163,0.06196508045190004,0.2563429384930616,0.19467018348229037,0.7022501308215594,0.42024539877300615,0.28200473204855325,0.5984269426640945,0.8558879392212726,0.9830443159922929,0.12715637677102032,0.8706504124967472,0.6885582349923037,0.7569060773480663,0.06834784235576252,0.9097010257927517
0.4,0.8415524104378593,0.5851586946803755,0.9258116644630527,0.7216097023153253,0.2518373346398824,0.09311879493324204,0.15871853970664035,0.3697577051726596,0.5897435897435898,0.558282208588957,0.031461381154632706,0.9466524406508402,0.9014719848053181,0.9653179190751445,0.06384593426982643,0.9338601998282636,0.7308690012970168,0.6691176470588235,0.061751354238193334,0.9155096821337231
0.5,0.8363555948695267,0.562807331247206,0.9262523872484207,0.7149346961953436,0.2299526375959497,0.12084902430674427,0.10910361328920543,0.5255387612430363,0.5499738356881214,0.6380368098159509,0.08806297412782949,0.8619782232419596,0.9152421652421653,0.9441233140655106,0.02888114882334536,0.969409558695273,0.7464488636363636,0.5892351274787535,0.15721373615761014,0.7893844524168268
0.6,0.8392304290137107,0.5310683951721055,0.9405024239753196,0.7457627118644068,0.2128041809570472,0.09928106812735364,0.11352311282969356,0.46653720655701175,0.5232862375719518,0.5766871165644172,0.05340087899246537,0.9074006034492356,0.9280626780626781,0.9606936416184971,0.03263096355581907,0.9660339549027877,0.7674597083653109,0.6482758620689655,0.11918384629634537,0.844703448275862
0.7,0.8353604599734631,0.48681269557443,0.9499045100631702,0.7615384615384615,0.18389678262289727,0.10407394727832935,0.07982283534456792,0.5659367488323362,0.46938775510204084,0.588957055214724,0.11956930011268313,0.7969812925170068,0.9456315289648622,0.9568400770712909,0.011208548106428684,0.9882858709882472,0.7966252220248667,0.631578947368421,0.16504627465644572,0.7928181658158775
0.8,0.8270676691729323,0.4202056325435852,0.9607756721022477,0.7787903893951947,0.1396374326310632,0.12050667579596029,0.019130756835102916,0.8629969308756315,0.3819989534275249,0.6441717791411042,0.26217282571357936,0.5930078991303482,0.9703228869895536,0.9452793834296724,0.025043503559881164,0.9741905463679423,0.8538011695906432,0.5965909090909091,0.25721026049973417,0.6987468866749689
0.9,0.8026315789473685,0.30710773357174787,0.9654767151461731,0.745119305856833,0.082312591866732,0.14310167750770283,0.06078908564097084,0.575203542685943,0.24175824175824176,0.6901840490797546,0.4484258073215128,0.3502808302808303,0.99002849002849,0.925626204238921,0.06440228578956908,0.9349490580945647,0.9166666666666666,0.5382775119617225,0.37838915470494416,0.58721183123097
1.0,0.7783060592658115,0.20831470719713902,0.9656236227412958,0.6657142857142857,0.04164625183733464,0.15234508729887025,0.11069883546153561,0.2733678688019202,0.12558869701726844,0.6932515337423313,0.5676628367250629,0.18115891693641376,0.9964387464387464,0.915606936416185,0.08083181002256146,0.9188792985906531,0.9411764705882353,0.5078651685393258,0.43331130204890944,0.5396067415730337
