Mix_fact,Accuracy,TPR,TNR,PPV,NMI preds and y,NMI preds and s,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0,PPV_sex_Male_0.0,PPV_sex_Male_1.0,PPV_sex_Male_0.0-sex_Male_1.0,PPV_sex_Male_0.0/sex_Male_1.0,NMI preds and y_sex_Male_0.0,NMI preds and y_sex_Male_1.0,NMI preds and y_sex_Male_0.0-sex_Male_1.0,NMI preds and y_sex_Male_0.0/sex_Male_1.0,NMI preds and s_sex_Male_0.0,NMI preds and s_sex_Male_1.0,NMI preds and s_sex_Male_0.0-sex_Male_1.0,NMI preds and s_sex_Male_0.0/sex_Male_1.0
0.0,0.8157453109575519,0.7868404781533388,0.8423171655930277,0.8210215053763441,0.31049189702019286,0.0069445724696654,0.4175725796137614,0.5160288343198735,0.09845625470611208,0.8092039666041578,0.7253181566674571,0.9020275270090277,0.17670937034157053,0.8040975856607068,0.9427170090690358,0.7370463807490782,0.20567062831995753,0.7818320595243486,0.9368044920877999,0.6922203293583191,0.2445841627294808,0.738916535098598,0.381691095121974,0.3192428685514304,0.06244822657054361,0.8363906641558208,7.75,-3.75,11.5,-0.4838709677419355
0.1,0.851974333662389,0.8161582852431987,0.8848995831754453,0.8669950738916257,0.39654959426071656,8.980477738807958e-08,0.4507396512768044,0.45109300826349413,0.0003533569866897568,0.9992166649001056,0.7872895423286697,0.8702086724877904,0.08291913015912078,0.9047135097814322,0.9432722561539886,0.8236949349893266,0.11957732116466202,0.8732313810943454,0.9420221318452663,0.7639340002598415,0.1780881315854248,0.8109512233682031,0.44808372231239973,0.37392346197418547,0.07416026033821427,0.8344946342716943,4.25,-8.25,12.5,-1.9411764705882353
0.2,0.8568854886475814,0.8112633965375103,0.898825312618416,0.8805435937587384,0.41133732212312835,0.0007872698538891747,0.4551732958178795,0.4222000820488777,0.03297321376900181,0.9275589889126651,0.7932969725713382,0.8449015835429925,0.05160461097165425,0.9389223408065391,0.9406811030908755,0.8549388705608384,0.0857422325300371,0.9088509036183393,0.9399644094783178,0.7924764019988895,0.14748800747942836,0.8430919234896516,0.45043389200639644,0.3846050418598724,0.06582885014652406,0.8538545804062425,3.5,0.0,3.5,0.0
0.3,0.8666584402764067,0.8592848309975268,0.8734369079196665,0.8619050080107499,0.4329130466959179,0.0013054929771027346,0.4955450398601697,0.4527339858172654,0.04281105404290425,0.9136081473946658,0.8465733934076357,0.8830842089684772,0.03651081556084146,0.9586553409176126,0.9154173607255228,0.8294197554822433,0.08599760524327948,0.9060563968602023,0.9213695801789401,0.7724271844660194,0.14894239571292067,0.8383467406380029,0.47490722022263393,0.3969520695155693,0.07795515070706466,0.8358518308681016,0.0,0.5,0.5,0.0
0.4,0.8664856860809477,0.8620671887881286,0.8705475558923835,0.8595869297163995,0.432516846684215,0.0028267412586396494,0.5068849383979196,0.4438844282951415,0.06300051010277807,0.8757104318350828,0.8580349379495692,0.8696166937990233,0.01158175584945409,0.9866817691840093,0.9042198778456413,0.8352416068309723,0.06897827101466902,0.923715157447087,0.9129520605550883,0.7758119883813045,0.13714007217378377,0.8497839283144828,0.4732701518370453,0.38769115280428124,0.08557899903276406,0.8191751609507157,-0.25,-1.0,0.75,4.0
0.5,0.8643879565646594,0.8497526793075021,0.8778419856006063,0.8647684966703372,0.42689701864047525,0.004385802011311902,0.5036449673871339,0.42530621813280195,0.07833874925433199,0.8444564041595679,0.8506046952810055,0.848157466331212,0.002447228949793434,0.9971229538663845,0.9025541365907829,0.8519309140306618,0.050623222560121084,0.9439111511345567,0.9108684611477907,0.7897202700840568,0.12114819106373398,0.8669970514611139,0.46061480605301813,0.38427018888572806,0.07634461716729007,0.8342549649641471,0.0,0.0,0.0,nan
0.6,0.8670779861796644,0.8533594394064303,0.8796892762410004,0.8670296304051932,0.43411507796200594,0.006065645628250831,0.510210171803726,0.4180976381644494,0.09211253363927657,0.8194615891062408,0.8592206149711485,0.8423856741157318,0.016834940855416702,0.9804067307486773,0.8983897834536368,0.8600815059188822,0.03830827753475463,0.957358956835542,0.9082553475935828,0.7978693580039249,0.11038598958965795,0.8784637052981576,0.46622153241973646,0.3887891605926484,0.07743237182708806,0.8339150673174482,-3.75,4.5,8.25,-0.8333333333333334
0.7,0.8622161895360316,0.8352225886232482,0.8870310723759,0.8717397149771444,0.4220867328081102,0.006752884521105469,0.4997228972161828,0.40280138310965247,0.09692151410653033,0.8060494833307557,0.8430163623428978,0.8206304573035371,0.022385905039360665,0.973445467918148,0.902183971867481,0.8711430234814671,0.0310409483860139,0.9655935492605122,0.9098276744582836,0.8067801542266841,0.10304752023159947,0.8867395187852969,0.4499773990896724,0.38019946389439524,0.06977793519527714,0.8449301335212801,-4.0,-4.75,0.75,1.1875
0.8,0.8593534057255676,0.8557295960428689,0.8626847290640394,0.8513866817040037,0.4136156768749996,0.01075367079529439,0.5331031248667775,0.4103616011252417,0.12274152374153574,0.7697602621027426,0.8730535135562406,0.8232943614029895,0.04975915215325111,0.943005610331301,0.8648898759948177,0.8603725984863186,0.004517277508499062,0.9947770489239417,0.8832467013194722,0.7944872893459012,0.08875941197357107,0.899507791151697,0.439242294628184,0.36804126638815005,0.07120102824003394,0.8379003363045784,-4.25,-7.75,3.5,1.8235294117647058
0.9,0.8452615992102666,0.8729905193734543,0.8197707464948845,0.8166088297667246,0.3822637135725502,0.015228467300394948,0.5736027625015987,0.4274160464162222,0.14618671608537648,0.7451429357699981,0.8977946407398625,0.8265502441912091,0.07124439654865333,0.9206451082288243,0.805941143808995,0.8342712982728507,0.028330154463855783,0.9660420362986162,0.8441471571906355,0.7658028246263541,0.07834433256428142,0.9071911432776539,0.4046800757729492,0.33779436860305273,0.06688570716989645,0.834719544711602,3.25,-4.5,7.75,-1.3846153846153846
