Mix_fact,Accuracy,TPR,TNR,PPV,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,PPV_sex_Male_1,PPV_sex_Male_0,PPV_sex_Male_0-sex_Male_1,PPV_sex_Male_0/sex_Male_1
0.0,0.7430340557275542,0.8372820742065266,0.712061113559571,0.4886511870597443,0.6041156295933366,0.04587470044505306,0.5582409291482836,0.0759369534536523,0.9340659340659341,0.26993865030674846,0.6641272837591856,0.28899314326957776,0.5455840455840456,0.9822736030828516,0.436689557498806,0.5554298149433498,0.48256285482562855,0.6567164179104478,0.17415356308481922,0.7348116198481162
0.1,0.7861565678903141,0.7992847563701386,0.7818422212428383,0.5462878093492209,0.509880777396701,0.05169462512838069,0.4581861522683203,0.1013857109740791,0.8775510204081632,0.34049079754601225,0.537060222862151,0.38800114138964187,0.6569325735992403,0.9845857418111753,0.327653168211935,0.6672172322857255,0.5371556694426649,0.7350993377483444,0.19794366830567944,0.7307252800526343
0.2,0.8246351172047767,0.753687974966473,0.8479506390480388,0.619625137816979,0.41466601339212805,0.062307428962684014,0.352358584429444,0.1502593097827941,0.8100470957613815,0.4233128834355828,0.38673421232579863,0.5225781138536167,0.7647198480531814,0.9830443159922929,0.21832446793911153,0.7779098415123503,0.6096888538794801,0.7582417582417582,0.14855290436227808,0.8040824014932274
0.3,0.8414418398938522,0.6848457755923111,0.8929043631555752,0.6775762936753649,0.3365997060264576,0.06846970215679561,0.268130003869662,0.20341581091997066,0.7226582940868655,0.46319018404907975,0.2594681100377858,0.6409532525110727,0.8385565052231719,0.9811175337186898,0.14256102849551788,0.8546952596441991,0.6700630761766133,0.755,0.08493692382338669,0.8875007631478322
0.4,0.8458646616541353,0.6361198033080018,0.9147935948288527,0.710434348477284,0.2928303119385922,0.0718931872646354,0.22093712467395682,0.24551142533260595,0.663003663003663,0.4785276073619632,0.18447605564169978,0.721757109446497,0.8751187084520418,0.9791907514450867,0.10407204299304496,0.8937162725041513,0.7066369213608478,0.7428571428571429,0.03622022149629511,0.9512420095242181
0.5,0.8457540911101282,0.6003576218149307,0.9263992948435434,0.7283080260303688,0.2624530458925363,0.08113659705580281,0.1813164488367335,0.30914709631156234,0.6132914704343275,0.5245398773006135,0.08875159313371406,0.8552864381582529,0.8967236467236467,0.9745664739884393,0.07784282726479264,0.9201256873261617,0.7293092719352832,0.7215189873417721,0.007790284593511054,0.9893182701862011
0.6,0.8439849624060151,0.5632543585158695,0.9362421037167622,0.743801652892562,0.2348521966356361,0.08764121876069839,0.14721097787493773,0.3731760656966316,0.56567242281528,0.549079754601227,0.01659266821405292,0.9706673552663689,0.9152421652421653,0.9703275529865125,0.055085387744347236,0.9432301107241536,0.7517385257301809,0.69921875,0.05251977573018085,0.9301355804810361
0.7,0.8384564352056613,0.5087170317389361,0.9468194505655942,0.7586666666666667,0.19826882247264413,0.09791167408421773,0.1003571483884264,0.49383293279873575,0.49502878074306644,0.588957055214724,0.09392827447165752,0.8405176173033315,0.936372269705603,0.963776493256262,0.027404223550658968,0.9715657896385606,0.7792421746293245,0.6713286713286714,0.10791350330065319,0.861514806546519
0.8,0.8300530738611234,0.43182834152883326,0.9609225796973704,0.7840909090909091,0.14780336436387392,0.11194796302636084,0.03585540133751308,0.7574114669728259,0.39822082679225534,0.6288343558282209,0.23061352903596555,0.6332682416306109,0.9658119658119658,0.9529865125240847,0.012825453287881095,0.9867205483656453,0.8408839779005525,0.6269113149847095,0.21397266291584294,0.7455384232078346
0.9,0.8071649712516585,0.31604827894501564,0.968561774643749,0.7676438653637351,0.08868201861832435,0.1294077370763437,0.04072571845801935,0.6852914719156759,0.25745682888540034,0.6595092024539877,0.40205237356858736,0.39037640100763027,0.9878917378917379,0.9371868978805395,0.05070484001119835,0.9486736875445404,0.9060773480662984,0.5687830687830688,0.3372942792832295,0.6277422893276552
1.0,0.7764263600176913,0.20473848904783193,0.9643014543851918,0.6533523537803139,0.04017638412542871,0.15576857240671002,0.11559218828128132,0.25792355611071927,0.11983254840397697,0.7024539877300614,0.5826214393260845,0.1705913134484563,0.9959639126305793,0.9129094412331407,0.0830544713974386,0.9166089550593537,0.9308943089430894,0.5032967032967033,0.42759760564638616,0.5406593406593406
