Scale,Accuracy,prob_pos,TPR,TNR,PPV,Renyi preds and s
0.0,0.9909,0.114,0.9955947136563876,0.9988719684151156,0.9912280701754386,0.05812564206992091
0.01,0.9893,0.1139,0.9947136563876652,0.9988719684151156,0.9912203687445127,0.05704666275161392
0.02,0.9875,0.1141,0.9947136563876652,0.9986463620981387,0.9894829097283085,0.057717792732159476
0.03,0.9477,0.1134,0.9859030837004406,0.9983079526226735,0.9867724867724867,0.14113214542161107
0.04,0.9511,0.1126,0.9823788546255506,0.9987591652566272,0.9902309058614565,0.13736831669480493
0.05,0.9596,0.1115,0.9770925110132158,0.9993231810490694,0.9946188340807175,0.09407268076788054
