Mix_fact,Accuracy,prob_pos,TPR,TNR,PPV,Renyi preds and s,Accuracy_sens_0.0,Accuracy_sens_1.0,Accuracy_sens_0.0-sens_1.0,Accuracy_sens_0.0/sens_1.0,prob_pos_sens_0.0,prob_pos_sens_1.0,prob_pos_sens_0.0-sens_1.0,prob_pos_sens_0.0/sens_1.0,TPR_sens_0.0,TPR_sens_1.0,TPR_sens_0.0-sens_1.0,TPR_sens_0.0/sens_1.0,TNR_sens_0.0,TNR_sens_1.0,TNR_sens_0.0-sens_1.0,TNR_sens_0.0/sens_1.0,PPV_sens_0.0,PPV_sens_1.0,PPV_sens_0.0-sens_1.0,PPV_sens_0.0/sens_1.0
0.0,0.6798617966436328,0.34842053307008886,0.529309462915601,0.8202193609918932,0.7329650092081031,0.2755393196124976,0.6404541987967122,0.7348386334082043,0.09438443461149215,0.871557604186195,0.23726802813320905,0.5034874098593214,0.26621938172611237,0.4712491782058736,0.38752922837100545,0.8,0.4124707716289946,0.4844115354637568,0.941700705532863,0.6919003726220828,0.2498003329107802,0.7347348988451377,0.8878571428571429,0.6311340690302888,0.2567230738268541,0.7108509224798103
0.1,0.7482477788746298,0.4449407699901283,0.7002046035805627,0.793037672865999,0.7592767208386488,0.09601683783801516,0.7426489280569444,0.75605863577255,0.013409707715605568,0.9822636670211387,0.40454198796712143,0.5013003901170351,0.09675840214991366,0.8069851848163849,0.635385814497272,0.8239583333333333,0.1885725188360613,0.7711382830813921,0.870404753063498,0.7113159443028044,0.15908880876069353,0.8172243336209267,0.8537913699204022,0.6528711236882443,0.20092024623215787,0.7646729010028651
0.2,0.7775419545903257,0.4790720631786772,0.7659335038363171,0.7883643299952313,0.7713785287451062,0.025149962900589917,0.783662401491399,0.7690034283012176,0.01465897319018139,0.9812942752360153,0.4684348784001356,0.4939118099066083,0.025476931506472733,0.9484180556215288,0.7318784099766174,0.830952380952381,0.09907397097576365,0.8807705793414878,0.8453397697734868,0.728181996469896,0.11715777330359078,0.86140747484886,0.8493125904486252,0.6682623264719961,0.18105026397662904,0.7868272930217667
0.3,0.7785784797630799,0.47462981243830205,0.7624040920716113,0.7936576061039581,0.7750103993344426,0.021825949835008865,0.7837471400728752,0.7713677739685542,0.012379366104320999,0.9842048978919784,0.4838573002287942,0.4617567088308311,0.02210059139796311,0.9543241542754181,0.7461418550272798,0.7934523809523809,0.0473105259251011,0.9403738307920706,0.8285369476420349,0.756815061776819,0.07172188586521588,0.913435500891865,0.8382661996497373,0.6825396825396826,0.1557265171100547,0.8142278465061292
0.4,0.7858094768015794,0.4506663376110563,0.7450639386189258,0.823795898903195,0.7976562072175675,0.05485284190563514,0.7855266502838743,0.7862040430310911,0.0006773927472168983,0.999138400834718,0.4737734090331328,0.4184300744768885,0.055343334556244295,0.8831860684853803,0.7385035074045206,0.7575892857142857,0.0190857783097651,0.9748072225021368,0.8415336056442629,0.8050598156501275,0.03647378999413542,0.95665795192313,0.8473439456269004,0.7191693742053963,0.12817457142150412,0.8487337142337458
0.5,0.7839585389930899,0.47230997038499506,0.7655754475703325,0.8010968049594659,0.7820566412373289,0.0826532349801073,0.7877298534022541,0.7786972455372976,0.009032607864956521,0.9885333686086111,0.5072451487162105,0.4235725263033456,0.08367262241286494,0.8350450021559941,0.7713172252533126,0.7546130952380953,0.01670413001521731,0.978343372262001,0.8072781284812477,0.7945675622671112,0.012710566214136465,0.9842550345838686,0.8265953892415636,0.7076472229974882,0.11894816624407545,0.8560986816618764
0.6,0.7828479763079961,0.47075518262586374,0.7628132992327366,0.8015259895088221,0.7818086500655308,0.1075017866020695,0.7884501313448012,0.7750325097529259,0.013417621591875317,0.9829822825078488,0.516185069061944,0.4073767584820901,0.10880831057985385,0.7892067843465722,0.7802026500389712,0.7296130952380953,0.0505895548008759,0.9351584427477285,0.7982733011511326,0.8049617572072956,0.0066884560561629725,0.9916909642026129,0.8216367068866454,0.711404526987812,0.11023217989883338,0.865838296932319
0.7,0.773395853899309,0.5461006910167818,0.8310997442455242,0.7195994277539342,0.7342733188720173,0.1339808692706459,0.7837471400728752,0.7589549592150372,0.024792180857837964,0.9683671179259006,0.6025760528768749,0.46731292114907197,0.1352631317278029,0.7755252119927152,0.8553390491036633,0.7848214285714286,0.07051762053223476,0.9175559439193939,0.6984775343483104,0.741910178466366,0.043432644118055586,0.941458352535563,0.7716214315848685,0.6670882873766759,0.1045331442081926,0.8645279408666926
0.8,0.7691757156959527,0.5155725567620928,0.7950895140664962,0.7450166905102528,0.7440524627830166,0.1844968977201708,0.7741293110753326,0.7622650431493084,0.01186426792602413,0.9846740489524372,0.5936361325311414,0.4066674547818891,0.18696867774925235,0.6850449837814678,0.838269680436477,0.7126488095238095,0.1256208709126675,0.8501426523654557,0.6977348681767546,0.7949597960384389,0.09722492786168435,0.877698308334346,0.7676111626579116,0.6960755813953489,0.07153558126256276,0.906807528677846
0.9,0.7632280355380059,0.5046890424481737,0.7776470588235294,0.7497854077253219,0.7434229828850856,0.24716056338758444,0.7692992119311922,0.7547582456555149,0.014540966275677358,0.9810984256188502,0.6093127701042285,0.35873034637664025,0.2505824237275882,0.5887458198443407,0.8482462977396726,0.6428571428571429,0.20538915488252973,0.757866134600491,0.675269216487189,0.8284957834869582,0.15322656699976922,0.815054499909617,0.7567623948265072,0.7118141374196737,0.0449482574068335,0.9406045309411308
1.0,0.7083415597235933,0.5431391905231984,0.760613810741688,0.6596089651883643,0.6756633951290439,0.40354027795325476,0.7072282009999152,0.7098947866178035,0.0026665856178882397,0.9962436889689065,0.7133293788661977,0.3057098947866178,0.40761948407957993,0.42856764889247767,0.8868277474668745,0.5196428571428572,0.36718489032401735,0.585956921879316,0.49331600445599705,0.8352618160423613,0.3419458115863642,0.5906124223341462,0.6758137324780232,0.6751740139211136,0.0006397185569095853,0.9990534099469037
