Mix_fact,Accuracy,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1
0.0,0.7038142620232173,0.6696562032884903,0.050595238095238096,0.6190609651932522,0.07555404974489796,0.953401178361007,0.21921921921921922,0.7341819591417877,0.22993386645072036
0.1,0.7638474295190714,0.5651885068925427,0.05257936507936508,0.5126091418131776,0.0930297846438017,0.9196572040707016,0.2882882882882883,0.6313689157824134,0.3134736367118429
0.2,0.8022111663902709,0.4660355422687261,0.05191798941798942,0.4141175528507367,0.11140349760716832,0.8473486877343331,0.3153153153153153,0.5320333724190178,0.3721199075181376
0.3,0.8347153123272526,0.3876432486297957,0.06977513227513228,0.31786811635466344,0.1799983168074428,0.7927155865024103,0.43543543543543545,0.3572801510669748,0.5492959175391608
0.4,0.846987285793256,0.3120744062448098,0.08697089947089948,0.22510350677391033,0.2786864213487418,0.6957686127477236,0.5405405405405406,0.15522807220718304,0.776896989368121
0.5,0.851077943615257,0.2502906493937884,0.08862433862433862,0.16166631076944982,0.3540856953265712,0.6047134440278522,0.5555555555555556,0.04915788847229663,0.9187087885050684
0.6,0.85085682697623,0.2418202956319548,0.11408730158730158,0.12773299404465321,0.47178546899529045,0.5918585966791644,0.6636636636636637,0.07180506698449929,0.8918050348152115
0.7,0.8448866777224986,0.20876930742401595,0.14616402116402116,0.06260528625999479,0.7001221729742015,0.5404392072844135,0.7177177177177178,0.17727851043330423,0.7529968871368606
0.8,0.8284134881149806,0.14133864806510546,0.15178571428571427,0.010447066220608814,0.9311722696054008,0.3958221746116765,0.7207207207207207,0.3248985461090442,0.5492032672737012
0.9,0.7962410171365395,0.06626806178375685,0.15806878306878308,0.09180072128502623,0.41923560425539896,0.20085698982324585,0.7267267267267268,0.5258697369034809,0.27638585789727627
1.0,0.7531232725262575,0.02092675635276532,0.20734126984126985,0.18641451348850452,0.10092904499324136,0.05249062667380825,0.7867867867867868,0.7342961601129786,0.06671518581060361
