Mix_fact,Accuracy,prob_pos_sens_0,prob_pos_sens_1,prob_pos_sens_0-sens_1,prob_pos_sens_0/sens_1,TPR_sens_0,TPR_sens_1,TPR_sens_0-sens_1,TPR_sens_0/sens_1
0.0,0.8235686080947681,0.327560098428923,0.523107076542191,0.19554697811326804,0.6261817381522342,0.6662753155268565,0.9829528609546397,0.31667754542778326,0.6778303843378335
0.1,0.9638943731490622,0.45329358319136853,0.3602743965339385,0.09301918665743003,0.7947926242358481,0.9189903140592897,0.9844352208716276,0.06544490681233794,0.9335203521523819
0.2,0.966238894373149,0.4682945296233201,0.3582112646998143,0.11008326492350579,0.7649272883626188,0.9387535466197046,0.9820634450044471,0.04330989838474253,0.9558990830938153
0.3,0.9703109575518263,0.4787999242854439,0.3547555188776563,0.1240444054077876,0.7409264306110528,0.9550924567067801,0.9810257930625556,0.025933336355775438,0.9735650820404864
0.4,0.9711006910167819,0.4717490062464509,0.3493397978130803,0.12240920843337061,0.7405204742086481,0.947754622835339,0.9756892973613993,0.027934674526060355,0.9713692928664839
0.5,0.9720631786771965,0.47614991482112434,0.34356302867753247,0.13258688614359188,0.7215438205141738,0.9543097544271598,0.9672398458345687,0.012930091407408861,0.9866319698644628
0.6,0.9690769990128332,0.47875260268786674,0.3402620177429338,0.13849058494493294,0.7107261993618342,0.9533313765776343,0.9590868662911355,0.00575548971350115,0.9939989901688905
0.7,0.9704096742349457,0.49753927692598904,0.3485661233752837,0.14897315355070534,0.7005801140542605,0.9733881224929067,0.9740587014527127,0.0006705789598059342,0.9993115620662226
0.8,0.9697926949654492,0.4999053568048457,0.34356302867753247,0.15634232812731325,0.6872561455900811,0.9745621759123373,0.966943373851171,0.007618802061166274,0.9921823335139865
0.9,0.961080947680158,0.5175563127011168,0.3386115122756344,0.1789448004254824,0.654250569389111,0.98004109186968,0.9530091906314854,0.027031901238194656,0.972417583851893
1.0,0.8761352418558737,0.618114707552527,0.25881988859088095,0.359294818961646,0.4187246888456972,0.991977301633891,0.7226504595315743,0.2693268421023167,0.7284949548152896
