Mix_fact,Accuracy,prob_pos_sex_Male_1,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,TPR_sex_Male_1,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1
0.0,0.7163073521282477,0.6483972761999668,0.03571428571428571,0.6126829904856811,0.055080869437939106,0.9421531869309052,0.1921921921921922,0.749960994738713,0.2039925087110988
0.1,0.7788833609729132,0.530476665005813,0.04298941798941799,0.48748724701639506,0.08103922533321405,0.8950187466523835,0.2732732732732733,0.6217454733791101,0.30532687085649385
0.2,0.8027639579878386,0.4801527985384488,0.0625,0.4176527985384488,0.13016689726738154,0.8693090519550081,0.37537537537537535,0.4939336765796327,0.4318088883708107
0.3,0.824433388612493,0.412223883075901,0.08994708994708994,0.3222767931288111,0.2181996086105675,0.807177289769684,0.5285285285285285,0.27864876124115545,0.6547861730343482
0.4,0.8372581536760642,0.33134030891878424,0.09953703703703703,0.2318032718817472,0.30040726817042607,0.70915907873594,0.5645645645645646,0.14459451417137537,0.796104261361059
0.5,0.8431177446102819,0.29513369872114265,0.1164021164021164,0.17873158231902625,0.3944046949111665,0.6647027316550616,0.6426426426426426,0.02206008901241896,0.9668120981577871
0.6,0.8393587617468214,0.25793057631622657,0.13690476190476192,0.12102581441146465,0.5307814368503357,0.6025709694697375,0.6966966966966966,0.09412572722695911,0.8648971242819941
0.7,0.8353786622443339,0.18601561202458064,0.1412037037037037,0.04481190832087695,0.759095982142857,0.48044991965720407,0.6966966966966966,0.21624677703949258,0.6896113070941766
0.8,0.8192371475953566,0.1194153795050656,0.14285714285714285,0.023441763352077247,0.8359076565354593,0.33583288698446706,0.6936936936936937,0.35786080670922665,0.48412273318540056
0.9,0.7990049751243781,0.0719149642916459,0.15906084656084657,0.08714588226920067,0.4521223534676449,0.21692554900910552,0.7297297297297297,0.5128041807206242,0.2972683449384039
1.0,0.7514648977335544,0.019265902673974423,0.20105820105820105,0.1817922983842266,0.09582251593108332,0.04392072844134976,0.7687687687687688,0.724848040327419,0.0571312600428495
