Mix_fact,Accuracy,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0
0.0,0.5457551826258638,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
0.05,0.8040227048371175,0.407718761941154,0.41881298992161253,0.01109422798045856,0.9735103059183169,0.7022022403413853,0.827560098428923,0.12535785808753763,0.8485211426632064
0.1,0.82677690029615,0.4391372648919458,0.3447869393528614,0.0943503255390844,0.7851461648049836,0.7473900784881505,0.7537384062085936,0.0063483277204430255,0.991577545116248
0.2,0.8384748272458046,0.49089287988791236,0.33977721459303356,0.1511156652948788,0.6921616273404013,0.8107140135639717,0.7486276736702631,0.0620863398937086,0.9234177048195189
0.3,0.850542941757157,0.5288498280473825,0.32356928154653153,0.20528054650085092,0.611835845236469,0.8564352663262973,0.7399204997160704,0.11651476661022686,0.8639537964030601
0.4,0.8390918065153011,0.5454082282511782,0.33948252490127895,0.20592570334989924,0.6224374831854136,0.8625314333612741,0.7433276547416241,0.11920377861965004,0.8617977571494242
0.5,0.8541707798617967,0.5359402199295207,0.31001355572582073,0.22592666420369995,0.5784480137851743,0.8634458584165207,0.7304561802006436,0.13298967821587704,0.8459779765928026
0.6,0.8442250740375123,0.5142020124824863,0.301349678788236,0.21285233369425033,0.5860530909503198,0.8320505981863903,0.7079310997539277,0.12411949843246262,0.8508269825140391
0.7,0.8488647581441263,0.5703307434297117,0.3101903695408735,0.2601403738888382,0.5438780446509487,0.8930122685361579,0.7136096914631838,0.17940257707297413,0.7991040174990495
0.8,0.8334155972359328,0.6301532713454762,0.2910355395768256,0.33911773176865057,0.46184881172705655,0.92326449744723,0.6818095778913497,0.2414549195558804,0.73847698008156
0.9,0.8274432379072063,0.6504903833906509,0.23816820887605353,0.4123221745145974,0.36613640256234503,0.9335517793187533,0.59379140639788,0.33976037292087335,0.636056209791803
0.95,0.8120434353405726,0.7083174117946759,0.29345199504921315,0.41486541674546273,0.41429448177151096,0.9618227539434581,0.6821881506719667,0.27963460327149137,0.709265972212662
1.0,0.5293682132280355,0.8657920434764149,0.6685919726527966,0.19720007082361835,0.7722315972877264,0.8997180522746323,0.7058489494605338,0.19386910281409853,0.784522381957363
