Mix_fact,Accuracy,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0
0.0,0.5266535044422508,0.005561924171018554,0.8421052631578947,0.8365433389868762,0.006604784953084533,0.005859872611464968,0.9046718876586551,0.8988120150471902,0.0064773457552999335
0.1,0.6508144126357355,0.09183543497643612,0.4469263865149997,0.3550909515385636,0.20548223991101036,0.170828025477707,0.603294625978936,0.432466600501229,0.28315853999281515
0.2,0.6800592300098717,0.16167791788731797,0.3329404137443272,0.17126249585700923,0.48560616618766583,0.28382165605095544,0.48474210099918985,0.2009204449482344,0.5855106364104111
0.3,0.6948667324777887,0.23665775060501848,0.2599752460658926,0.023317495460874138,0.9103087858796981,0.3921019108280255,0.4075074264110181,0.015405515582992635,0.9621957427410062
0.4,0.7077245804540967,0.2254065299537214,0.18689220251075617,0.038514327442965235,0.8291339321408626,0.38229299363057323,0.2954361328652444,0.08685686076532884,0.772800280903755
0.5,0.6946199407699901,0.36432726191992526,0.2256144280073083,0.13871283391261696,0.6192630955431923,0.5621656050955414,0.372940858763165,0.18922474633237635,0.6634003492614651
0.6,0.7090325765054294,0.3157559546554579,0.12494842930394295,0.19080752535151496,0.39571202842487135,0.4914649681528662,0.21658115041857953,0.2748838177342867,0.44068481876253224
0.7,0.6886969397828233,0.4376937120536662,0.14993811516473154,0.28775559688893465,0.3425640145964616,0.6322292993630573,0.2519578719956792,0.38027142736737807,0.3985229287056381
0.8,0.6734945705824285,0.5207404576911646,0.0861672658690399,0.4345731918221247,0.16547065740020356,0.6955414012738853,0.15257899000810154,0.5429624112657838,0.21936722922410204
0.9,0.6327492596248766,0.6742665477858447,0.06159014557670773,0.612676402209137,0.0913439140336375,0.8173248407643312,0.10342965163381042,0.7138951891305207,0.12654656566792577
1.0,0.5448667324777887,0.9301575170891182,0.018565450580538694,0.9115920665085795,0.019959469487101873,0.9661146496815287,0.022414258709154738,0.943700390972374,0.023200412825272243
