Mix_fact,Accuracy,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0
0.0,0.46325271470878576,0.044283106186048485,0.8511817056639359,0.8068985994778874,0.052025444028436826,0.07223957936447459,0.9697141775506342,0.8974745981861596,0.07449574424800297
0.1,0.8038252714708786,0.4024115823886554,0.3793835091648494,0.023028073223805956,0.9427748250010233,0.6906957250628667,0.7802385008517888,0.08954277578892211,0.8852366607246784
0.2,0.8372161895360316,0.4965397189317709,0.3872811929038722,0.1092585260278987,0.7799601484792562,0.8219919225786787,0.80465644520159,0.017335477377088737,0.9789104042254996
0.3,0.8423741362290227,0.4830807115866344,0.30901161077385514,0.17406910081277926,0.6396686999961865,0.8041606340013716,0.7130418322922581,0.09111880170911346,0.8866907955246189
0.4,0.8487660414610069,0.545832802615378,0.29669358165851356,0.24913922095686447,0.5435612887992354,0.8680179836927532,0.6990346394094265,0.16898334428332673,0.8053227612123521
0.5,0.85177690029615,0.5600560438160744,0.3060647138563093,0.25399132995976514,0.5464894401832804,0.8846300388630648,0.7160704145371948,0.16855962432587002,0.8094574941831
0.6,0.849629812438302,0.5542393750265359,0.27329522013319973,0.28094415489333613,0.49309961083171855,0.8773908405090299,0.6602309293961764,0.2171599111128535,0.752493528440683
0.7,0.8471865745310958,0.5760624973464102,0.25555490068957387,0.32050759665683637,0.44362356839191724,0.8944601082069649,0.6286201022146508,0.26584000599231405,0.7027927757167203
0.8,0.8331194471865745,0.6447586294739523,0.265338598455826,0.3794200310181263,0.41153167453115175,0.9347710127257487,0.6433844406587166,0.2913865720670321,0.6882802653268393
0.9,0.8074777887462982,0.6904852884982805,0.2084045500088407,0.4820807384894398,0.3018233023647682,0.9475729634991998,0.5237554419837214,0.42381752151547847,0.5527336280781967
1.0,0.6526159921026653,0.9262089755020592,0.034950197442093475,0.8912587780599657,0.03773467799008149,0.985445401203993,0.08271815256483059,0.9027272486391624,0.08393986360255735
