Mix_fact,Accuracy,TPR,TNR,PPV,NMI preds and y,NMI preds and s,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0,PPV_sex_Male_0.0,PPV_sex_Male_1.0,PPV_sex_Male_0.0-sex_Male_1.0,PPV_sex_Male_0.0/sex_Male_1.0,NMI preds and y_sex_Male_0.0,NMI preds and y_sex_Male_1.0,NMI preds and y_sex_Male_0.0-sex_Male_1.0,NMI preds and y_sex_Male_0.0/sex_Male_1.0,NMI preds and s_sex_Male_0.0,NMI preds and s_sex_Male_1.0,NMI preds and s_sex_Male_0.0-sex_Male_1.0,NMI preds and s_sex_Male_0.0/sex_Male_1.0
0.1,0.8715449160908193,0.8646177292354584,0.8780897528197744,0.8701431492842536,0.4465667966545977,0.0002322071448424401,0.4751872064982866,0.4932772611502695,0.01809005465198288,0.9633268020305683,0.8300724920102892,0.9292590431738623,0.09918655116357311,0.893262753919721,0.9460584752035529,0.8048269671885908,0.1412315080149621,0.8507158788630113,0.9480947293447294,0.7650096061479347,0.1830851231967947,0.8068915293692931,0.5046190306003188,0.4327901337304276,0.07182889686989119,0.8576571779616791,3.75,-4.0,7.75,-1.0666666666666667
0.2,0.8809476801579467,0.855524511049022,0.9049676025917927,0.8947983635300993,0.4749433213316912,0.000991059822747303,0.4800101535727884,0.4427530652135284,0.037257088359260004,0.9223827077782629,0.8370878478447268,0.8900233372228705,0.05293548937814374,0.9405234816164285,0.9438378978534419,0.8630697117781989,0.08076818607524294,0.9144257861875085,0.9465009695046712,0.8163210702341137,0.1301798992705575,0.8624619483076873,0.5097891070766042,0.45332931907952534,0.05645978799707885,0.8892487359707456,8.0,0.0,8.0,0.0
0.3,0.8830700888450148,0.8484124968249936,0.9158147348212143,0.9049580059604443,0.48331241881418074,0.003063450769230321,0.48267546642974996,0.4173428892969259,0.06533257713282403,0.8646449184250538,0.8401278353729831,0.8639148191365228,0.023786983763539715,0.9724660542490582,0.9416173205033309,0.8880023935374489,0.05361492696588199,0.9430608105878695,0.9446927863967044,0.8406187908032926,0.1040739955934118,0.8898329731188314,0.5098228891285675,0.45705481427097466,0.052768074857592884,0.8964972425075136,3.75,-3.25,7.0,-0.8666666666666667
0.4,0.8889437314906219,0.862738125476251,0.9137029037676986,0.9042649486182844,0.4989242908623829,0.005994731487113249,0.5016288023014766,0.4101166854232068,0.09151211687826977,0.8175700508854127,0.8637462000155897,0.8608518086347725,0.0028943913808171517,0.9966490256272446,0.9282013323464101,0.8980751969681859,0.030126135378224173,0.9675435335757728,0.9345534283545585,0.8523974581166955,0.08215597023786292,0.9120906651827145,0.5192705756787823,0.46958234931420106,0.049688226364581256,0.9043114925207738,0.0,0.0,0.0,nan
0.5,0.8868213228035537,0.8806705613411226,0.8926325893928486,0.8857099065038574,0.4903430702239869,0.008547185050509503,0.528704996403943,0.4191198246757093,0.10958517172823368,0.7927290786476547,0.8893132746122068,0.8644982497082847,0.024815024903922067,0.9720964190996216,0.8993338267949667,0.8854093946344869,0.013924432160479783,0.9845169482725858,0.9129391053852924,0.8376201243640475,0.0753189810212449,0.9174983516677625,0.5117173147718308,0.4536944632710164,0.058022851500814376,0.8866115141585816,3.75,-3.25,7.0,-0.8666666666666667
0.6,0.8902270483711747,0.876758953517907,0.9029517638588913,0.8951299206472694,0.5009171194122887,0.01139961211157791,0.5284934636375175,0.4021204762186815,0.12637298741883596,0.7608806993580671,0.8922753137423026,0.8477246207701283,0.04455069297217429,0.9500706875041475,0.9033123612139157,0.9025630796848509,0.000749281529064727,0.9991705177951314,0.9163464617355107,0.8560907350125202,0.06025572672299051,0.9342435102451649,0.5224580488357048,0.46085281551913665,0.06160523331656814,0.8820857799896946,4.25,0.0,4.25,0.0
0.7,0.8859328726554788,0.8702057404114808,0.9007919366450684,0.8923269260822003,0.4882460928919467,0.015754268071475914,0.5356009645894149,0.38719421903690104,0.14840674555251382,0.7229154625098918,0.8946137656871151,0.8245332555425904,0.07008051014452477,0.9216639483624546,0.8905440414507773,0.9118380372992919,0.021293995848514657,0.9766471730971173,0.9065560821484993,0.8647697720666973,0.041786310081802,0.9539065360603282,0.5070814695544391,0.44937950428210416,0.057701965272334954,0.8862077028311913,8.0,-3.0,11.0,-0.375
0.8,0.8818608094768016,0.8838201676403353,0.8800095992320615,0.8743592320836265,0.4759996736221552,0.021492977579252087,0.5633963700977281,0.38980039092578334,0.1735959791719448,0.6918759360451108,0.9168290591628342,0.8220536756126021,0.09477538355023207,0.8966269855835804,0.8561250925240562,0.9057544629500349,0.0496293704259787,0.9452065957651081,0.8832319591499587,0.8564048017018691,0.02682715744808961,0.9696261472762957,0.4965357684142293,0.43607397884411025,0.06046178957011905,0.8782327610290515,0.0,0.0,0.0,nan
0.9,0.8642892398815399,0.880264160528321,0.8491960643148548,0.8465070835368832,0.4286575620113688,0.03856999933127057,0.6019376401404578,0.369721021145531,0.2322166189949268,0.6142181456857546,0.9337438615636449,0.7801925320886814,0.15355132947496342,0.8355530506858414,0.7919133974833457,0.9109404607559589,0.11902706327261325,0.8693360670643209,0.841931402867585,0.8569368792053829,0.015005476337797807,0.9824894030098086,0.449514983001485,0.399592279452987,0.04992270354849804,0.8889409576180176,4.75,5.0,0.25,0.95
1.0,0.8012092793682132,0.8343408686817374,0.769906407487401,0.7740597605806391,0.28392023321380017,0.11955787678345214,0.6922621314041545,0.28756737546644556,0.4046947559377089,0.41540243561085216,0.9532309611037493,0.6118728121353559,0.34135814896839334,0.6418935568635605,0.6175055514433753,0.93417772015558,0.3166721687122047,0.6610150703878215,0.7473568416549532,0.8640576725025747,0.1167008308476215,0.8649386093527527,0.3227597398267106,0.28998056848787573,0.032779171338834845,0.8984409537681683,8.0,-5.625,13.625,-0.703125
