Mix_fact,Accuracy,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0
0.0,0.7149062191510365,0.0,5.893793835091649e-05,5.893793835091649e-05,0.0,0.0,0.00027005130974885227,0.00027005130974885227,0.0
0.05,0.6442744323790721,0.10134590073451365,0.43590499204337835,0.3345590913088647,0.23249538909714615,0.1662420382165605,0.5822306238185255,0.41598858560196506,0.28552609810571594
0.1,0.6698667324777887,0.11140831316605103,0.3467908292567926,0.23538251609074157,0.321255072992588,0.19299363057324842,0.4933837429111531,0.3003901123379047,0.3911633355296874
0.2,0.672680157946693,0.2276992315204008,0.3174986738963871,0.08979944237598628,0.7171659293125378,0.3594904458598726,0.4585471239535512,0.09905667809367857,0.7839771030736797
0.3,0.6917571569595261,0.23504436802105888,0.27694937231095657,0.041905004289897685,0.8486907410541191,0.3912101910828025,0.4261409667836889,0.034930775700886374,0.918029998466171
0.4,0.7089091806515301,0.28391287734046616,0.20398420463252195,0.07992867270794421,0.718474648079825,0.47159235668789806,0.3378341884958142,0.13375816819208386,0.716369092299336
0.5,0.7059970384995065,0.2718974228336093,0.17422054576530913,0.09767687706830017,0.640758356403861,0.43515923566878983,0.29273561976775586,0.14242361590103397,0.6727091964803523
0.6,0.6982971372161896,0.34942470173650914,0.2177167442682855,0.13170795746822364,0.6230719900061882,0.546624203821656,0.3605184985147178,0.1861057053069382,0.659536288357151
0.7,0.7048864758144127,0.34169744830807114,0.15141156362350444,0.1902858846845667,0.443115874506014,0.5300636942675159,0.2551984877126654,0.27486520655485047,0.4814487211113731
0.8,0.6956811451135242,0.39060841506389843,0.12530205693404844,0.26530635812985,0.3207868855399612,0.5761783439490445,0.20280853362138807,0.3733698103276565,0.3519891640344675
0.9,0.6673000987166832,0.4838449454421942,0.13025284375552543,0.35359210168666877,0.2692036880461469,0.6476433121019108,0.20388873886038347,0.44375457324152734,0.31481640441660314
0.95,0.7117472852912142,0.28786141892752515,0.15317970177403195,0.1346817171534932,0.5321300170920021,0.4631847133757962,0.26735079665136374,0.19583391672443246,0.5772012523963711
1.0,0.6745804540967424,0.1568802275718592,0.08781752814286556,0.06906269942899365,0.5597743546275812,0.18140127388535032,0.095058061031596,0.08634321285375432,0.5240209122879415
