Mix_fact,Accuracy,TPR,TNR,PPV,NMI preds and y,NMI preds and s,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0,PPV_sex_Male_0.0,PPV_sex_Male_1.0,PPV_sex_Male_0.0-sex_Male_1.0,PPV_sex_Male_0.0/sex_Male_1.0,NMI preds and y_sex_Male_0.0,NMI preds and y_sex_Male_1.0,NMI preds and y_sex_Male_0.0-sex_Male_1.0,NMI preds and y_sex_Male_0.0/sex_Male_1.0,NMI preds and s_sex_Male_0.0,NMI preds and s_sex_Male_1.0,NMI preds and s_sex_Male_0.0-sex_Male_1.0,NMI preds and s_sex_Male_0.0/sex_Male_1.0
0.0,0.8096742349457058,0.8043989769820972,0.8145922746781116,0.8017742428877332,0.2974763465503322,0.02283908118325772,0.4093297178205237,0.5883083106750207,0.17897859285449697,0.6957741551379102,0.7253312548713952,0.9553571428571429,0.23002588798574775,0.7592252387438903,0.9670441886372075,0.653559521474799,0.3134846671624085,0.6758321172435956,0.9632543214988096,0.6450316487491209,0.31822267274968874,0.6696379495556907,0.42600846444865836,0.32027462168223714,0.10573384276642123,0.7518034227247988,1.5,-3.25,4.75,-2.1666666666666665
0.1,0.8752961500493583,0.8584143222506394,0.89103481163567,0.880159437772067,0.45729554864741623,3.204092135648124e-05,0.4677569697483264,0.4744650667927651,0.006708097044438699,0.9858617683072364,0.8247856586126266,0.9226190476190477,0.09783338900642102,0.8939612299801373,0.9574823616784256,0.8208472249460679,0.13663513673235772,0.8572974895403377,0.9585144927536232,0.7723931730409866,0.18612131971263657,0.8058231553933559,0.5194707045871161,0.4404596376294361,0.07901106695768001,0.8479008223948272,0.0,-3.75,3.75,nan
0.2,0.8934106614017769,0.8651662404092072,0.9197424892703863,0.9095015325052428,0.5127276111539669,0.002583089211822657,0.4840267773917465,0.42398628679512945,0.060040490596617035,0.8759562623370662,0.8521434138737335,0.8900297619047619,0.037886348031028416,0.9574324931000651,0.9544188637207576,0.883114336144342,0.07130452757641559,0.9252901107817189,0.9570203081232493,0.8338212742227799,0.12319903390046949,0.8712681090936647,0.550395413253279,0.48252823852037857,0.06786717473290044,0.876693785778935,4.0,0.0,4.0,0.0
0.3,0.8937068114511353,0.8787212276214834,0.9076776347162613,0.898718284070102,0.5114679412107348,0.004503101952823433,0.5049148377256165,0.4254640028372148,0.07945083488840171,0.8426450780367495,0.8740452065471551,0.8876488095238095,0.013603602976654416,0.9846745663029141,0.9347382101745265,0.879093939988233,0.055644270186293476,0.9404707440215758,0.9410086431148779,0.8287024173381495,0.11230622577672833,0.880653353613227,0.5456931297453078,0.47295636350705156,0.07273676623825626,0.866707564611992,-8.0,-1.5,6.5,5.333333333333333
0.4,0.8988647581441264,0.8881329923273658,0.9088698140200286,0.900850887205562,0.5272426190415539,0.0069421226489467195,0.5168629777137531,0.41819363991015485,0.09866933780359827,0.809099622031271,0.8908807482462977,0.8828869047619048,0.007993843484392915,0.9910270330791985,0.9286112142591905,0.8880172582859385,0.040593955973251994,0.9562853050341027,0.93696204606935,0.8385865724381626,0.09837547363118737,0.8950059140133986,0.5612822802615699,0.48077430322910836,0.08050797703246154,0.8565641926288087,0.0,3.5,3.5,0.0
0.5,0.9001480750246792,0.8754475703324808,0.9231759656652361,0.9139698814482538,0.5332569457734903,0.01063516163755681,0.5129650029658503,0.391240099302518,0.12172490366333233,0.7627032975747939,0.8888542478565862,0.8498511904761905,0.03900305738039567,0.9561198503866647,0.9347382101745265,0.9109629339086095,0.023775276265917022,0.9745647754557097,0.9419344181052284,0.8628191569723523,0.07911526113287604,0.9160076756808374,0.5687674806885714,0.4776045495757386,0.0911629311128328,0.8397184540113518,0.0,8.0,8.0,0.0
0.6,0.8972606120434353,0.910997442455243,0.8844539818788746,0.8802451440715663,0.5239954742069411,0.012121757299694414,0.5538513685280908,0.4232769830949285,0.1305743854331623,0.7642429127146958,0.9253312548713951,0.8836309523809524,0.041700302490442764,0.9549347303780003,0.8886000742666171,0.8800745244165523,0.008525549850064817,0.9904056390529776,0.9082007343941249,0.8292137969557324,0.07898693743839247,0.9130292076992363,0.5571410477550082,0.46911097148317626,0.0880300762718319,0.8419967858650016,0.0,3.25,3.25,0.0
0.7,0.8943237907206318,0.9062915601023018,0.8831664282308059,0.878520428401428,0.5145055332353413,0.015656558498839162,0.5596559613592068,0.4113370374748788,0.148318923884328,0.7349819636976372,0.9275136399064692,0.8657738095238096,0.06173983038265962,0.9334351240496199,0.8784812476791682,0.8881153167287703,0.009634069049602068,0.9891522318463242,0.9009009009009009,0.8360396608708148,0.06486124003008609,0.9280040235666045,0.5465126791100576,0.4587395595904299,0.08777311951962774,0.8393941753326608,-0.75,0.0,0.75,nan
0.8,0.8941510365251728,0.8690025575447571,0.9175965665236051,0.9076775124218625,0.514358926973516,0.025200577663682975,0.5399542411660029,0.3530559167750325,0.18689832439097037,0.6538626606814436,0.9088854247856586,0.7928571428571428,0.11602828192851578,0.8723400345473924,0.899461567025622,0.9367523043734065,0.03729073734778454,0.9601914645166223,0.9150188323917138,0.8920140632847815,0.023004769106932277,0.9748586932939932,0.5440280856840071,0.46107495466505266,0.0829531310189544,0.847520499029646,0.0,-2.5,2.5,nan
0.9,0.8807749259624876,0.881841432225064,0.8797806390081068,0.872425484540256,0.47275330328016013,0.04017954218332808,0.5864757223964071,0.34986405012412813,0.23661167227227897,0.5965533384647935,0.937568199532346,0.7754464285714285,0.1621217709609175,0.8270826900466729,0.8316932788711474,0.9305746224749951,0.0988813436038477,0.8937416288649064,0.8690218176564081,0.8803852002027369,0.011363382546328848,0.9870927151618268,0.5035650450227674,0.4303421087262389,0.07322293629652854,0.8545909073311116,3.25,8.0,4.75,0.40625
